pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,NEZEK,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2023090014,2,2023,7,7,2014,0,0,1,4,1,5,2,3
2023019091,1,2023,7,6,2017,0,0,1,4,1,3,1,3
2023019091,2,2023,7,6,2020,0,0,1,4,1,3,1,3
2023039805,1,2023,7,6,2023,0,0,1,4,1,99,2,3
2023039805,2,2023,7,6,2020,0,0,1,4,1,3,2,3
2023047756,1,2023,7,8,2017,0,0,1,4,2,99,3,3
2023047756,2,2023,7,5,2014,0,0,1,4,1,3,1,3
2023072072,1,2023,1,6,2008,0,0,1,4,1,99,,3
2023072072,2,2023,1,7,2019,0,0,1,4,1,3,1,3
2023022361,1,2023,7,6,2008,0,0,1,4,1,99,,3
2023015400,1,2023,7,4,2021,0,0,1,4,1,3,1,3
2023015400,2,2023,7,6,2023,0,0,1,4,1,3,2,3
2023053900,1,2023,7,9,2015,0,0,1,4,1,5,2,3
2023053900,2,2023,7,6,2021,0,0,1,4,1,3,1,3
2023018931,1,2023,7,5,2013,0,0,1,1,1,3,1,3
2023018931,2,2023,7,6,2015,0,0,1,4,1,99,1,3
2023041301,1,2023,7,6,2015,0,0,1,4,1,3,1,3
2023041301,2,2023,7,6,2016,0,0,1,4,1,99,1,3
2023098658,1,2023,6,0,0,0,0,1,4,16,99,0,3
2023074648,1,2023,6,0,0,0,0,1,4,17,99,0,3
2023074648,2,2023,6,8,2019,0,0,1,4,1,3,1,3
2023042973,1,2023,4,4,2021,0,0,1,1,1,3,1,3
2023042973,2,2023,4,0,2021,0,0,1,1,1,3,2,3
2023044032,1,2023,6,4,2018,0,0,1,1,1,3,1,3
2023074370,1,2023,6,0,2021,0,0,3,4,8,99,0,3
2023029334,1,2023,7,9,2012,0,0,1,1,1,3,2,3
2023029334,2,2023,7,8,2018,0,0,1,1,1,3,2,3
2023029334,3,2023,7,6,2022,0,0,1,1,1,99,1,3
2023066947,1,2023,7,6,2008,0,0,1,1,1,99,,3
2023066947,2,2023,7,6,2012,0,0,1,4,1,3,1,3
2023090395,1,2023,7,6,2008,0,0,1,4,1,99,,3
2023090395,2,2023,7,6,2013,0,0,1,4,1,3,1,3
2023072967,1,2023,3,6,2016,0,0,1,4,12,3,1,3
2023072967,2,2023,3,6,2018,0,0,1,4,1,3,2,3
2023019624,1,2023,2,12,2013,0,0,1,4,11,36,11,3
2023049332,1,2023,7,6,2020,0,0,1,4,1,3,1,3
2023049332,2,2023,7,6,2016,0,0,1,4,1,3,1,3
2023004883,1,2023,7,6,2022,0,0,1,4,1,3,1,3
2023004883,2,2023,7,6,2018,0,0,1,4,1,3,2,3
2023041750,1,2023,7,7,2021,0,0,1,4,12,3,1,3
2023041750,2,2023,7,6,2009,0,0,1,1,1,3,1,3
2023039365,1,2023,7,7,2018,0,0,1,4,1,3,2,3
